,url,name,address,provider,MW_total_power,miles_to_nearest_airport,sqft_colocation_space,sqft_total_space,number,street,municipality,state,latitude,longitude
1683,https://datacenters.com/365-la3-los-angeles,365 Data Centers: LA3 Los Angeles Data center,"626 Wilshire Boulevard, Los Angeles, CA, USA",365 Data Centers,,11.15,,,626,Wilshire Boulevard,Los Angeles,CA,34.0482839,-118.2569578
1686,https://datacenters.com/xfernet-los-angeles-grand-ave,Xfernet: Los Angeles Data Center (Grand Ave),"624 South Grand Avenue, Los Angeles, CA, USA",Xfernet,,11.19,,,624,South Grand Avenue,Los Angeles,CA,34.0478871,-118.25555410911281
1687,https://datacenters.com/inap-new-jersey-2,INAP: New Jersey 2 Data Center,"755 Secaucus Road, Secaucus, NJ, USA",INAP,20.0,8.1,54000.0,54000.0,755,Secaucus Road,Secaucus,NJ,40.77642805000001,-74.06977591147162
1688,https://datacenters.com/deft-a-summit-company-cleveland,"Deft, a Summit company: Cleveland Data Center","1625 Rockwell Ave, Cleveland, Ohio, USA","Deft, a Summit company",10.0,11.26,351000.0,500000.0,1625,Rockwell Ave,Cleveland,Ohio,41.50632687671233,-81.683262
1689,https://datacenters.com/365-nj11-edison,365 Data Centers: NJ11 Edison Data Center,"3003 Woodbridge Avenue, Edison, NJ, USA",365 Data Centers,,14.76,,,3003,Woodbridge Avenue,Edison,NJ,40.52082485,-74.34741660299264
1690,https://datacenters.com/shift-hosting-dallas-tx-2,"Shift Hosting: Dallas, TX 2","2323 Bryan Street, Dallas, TX, USA",Shift Hosting,24.0,5.03,454000.0,454000.0,2323,Bryan Street,Dallas,TX,32.78697608163265,-96.79400534693877
1691,https://datacenters.com/inap-chicago-4,INAP: Chicago 4 Data Center,"9333 West Grand Avenue, Franklin Park, IL, USA",INAP,4.0,3.7,12000.0,12000.0,9333,West Grand Avenue,Franklin Park,IL,41.92837055,-87.85925519193461
1692,https://datacenters.com/365-tx3-dallas,365 Data Centers: TX3 Dallas Data Center,"1950 North Stemmons Freeway, Dallas, TX, USA",365 Data Centers,,3.42,,,1950,North Stemmons Freeway,Dallas,TX,32.800965950000005,-96.81952300449768
1693,https://datacenters.com/365-lvg1-las-vegas,365 Data Centers: LVG1 Las Vegas Data Center,"7135 South Decatur Boulevard, Las Vegas, NV, USA",365 Data Centers,,3.82,,,7135,South Decatur Boulevard,Las Vegas,NV,36.06011615,-115.21019411891962
1694,https://datacenters.com/logix-dallas,Logix: Dallas Data Center,"2323 Bryan St, Dallas, Texas, USA",Logix,,5.03,,,2323,Bryan St,Dallas,Texas,32.78697608163265,-96.79400534693877
1695,https://datacenters.com/enzu-ewr2-clifton,Enzu: EWR2 Clifton Data Center,"2 Peekay Drive, Clifton, NJ, USA",Enzu,,9.33,,,2,Peekay Drive,Clifton,NJ,40.830585799999994,-74.1245144
1696,https://datacenters.com/mod-mission-critical-snd1-databank-san-diego-pop,MOD Mission Critical: SND1 - Databank San Diego Data Center PoP,"12270 World Trade Drive, San Diego, CA, USA",MOD Mission Critical,1.2,18.65,55140.0,88000.0,12270,World Trade Drive,San Diego,CA,32.9886013,-117.07324598812784
1697,https://datacenters.com/enzu-dfw1-dallas,Enzu: DFW1 Dallas Data Center,"1950 North Stemmons Freeway, Dallas, TX, USA",Enzu,,7.46,,,1950,North Stemmons Freeway,Dallas,TX,32.800965950000005,-96.81952300449768
1698,https://datacenters.com/vantage-va3-ashburn-campus,Vantage Data Centers: VA3 Ashburn Data Center Campus,"19509 Belmont Ridge Road, Ashburn, VA 20147, USA",Vantage Data Centers,288.0,9.19,2300000.0,2300000.0,19509,Belmont Ridge Road,Ashburn,VA,39.070130068273095,-77.50704944176707
1699,https://datacenters.com/inap-silicon-valley-1,INAP: Silicon Valley 1 Data Center,"2151 Mission College Boulevard, Santa Clara, CA, USA",INAP,13.5,2.5,73000.0,73000.0,2151,Mission College Boulevard,Santa Clara,CA,37.38858276926831,-121.96269568148674
1701,https://datacenters.com/365-mo1-st-louis,365 Data Centers: MO1 St. Louis Data Center,"900 Walnut Street, St. Louis, MO, USA",365 Data Centers,,1.02,,,900,Walnut Street,St. Louis,MO,38.6254795,-90.19521772673889
1703,https://datacenters.com/cloudhq-ord-campus-united-states-chicago,CloudHQ: ORD Campus United States - Chicago,"1200 E Algonquin Rd, Des Plaines, Illinois 60016, USA",CloudHQ,,4.43,,,1200,E Algonquin Rd,Des Plaines,Illinois,42.031188844535414,-87.89716001454426
1704,https://datacenters.com/365-nj9-piscataway,365 Data Centers: NJ9 Piscataway Data Center,"365 South Randolphville Road, Piscataway, NJ, USA",365 Data Centers,,17.67,,,365,South Randolphville Road,Piscataway,NJ,40.55304865,-74.45922615462723
1705,https://datacenters.com/enzu-dfw2-dallas,Enzu: DFW2 Dallas Data Center,"8600 Harry Hines Boulevard, Dallas, TX, USA",Enzu,,0.63,,,8600,Harry Hines Boulevard,Dallas,TX,32.838594549999996,-96.86526504973209
1707,https://datacenters.com/evoswitch-scf-01-scottsdale,EvoSwitch: SCF-01 Scottsdale Data Center,"8521 East Princess Drive, Scottsdale, AZ, USA",EvoSwitch,19.2,15.54,,121000.0,8521,East Princess Drive,Scottsdale,AZ,33.644590199999996,-111.89575849541507
1708,https://datacenters.com/365-la1-los-angeles,365 Data Centers: LA1 Los Angeles Data center,"900 North Alameda Street, Los Angeles, CA, USA",365 Data Centers,,12.53,,,900,North Alameda Street,Los Angeles,CA,34.0581157,-118.23539385682871
