,Unnamed: 0.1,Unnamed: 0,url,statistics,address,transformed_address,cep
124,124.0,,https://www.datacentermap.com/brazil/campinas/ascenty-sumare-sum5/specs/,['19 MW'],"Ascenty Data CentersRodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)13177-435SumaréBrazil","Ascenty Data Centers Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)13177-435 SumaréBrazil",13177-435
125,125.0,,https://www.datacentermap.com/brazil/campinas/upx-campinas/specs/,[],"UPX TechnologiesRua Guapuruvu, 200 - Lot. Alphaville13098-322CampinasSao Paulo,Brazil","UPX Technologies Rua Guapuruvu, 200 - Lot. Alphaville13098-322 Campinas Sao Paulo,Brazil",13098-322
126,126.0,,https://www.datacentermap.com/brazil/belo-horizonte/ativas-datacenter-sa/specs/,"['2.5 MW', '6,000 sq.m.', 'Est.  2011']","Sonda S.A.Agenério de Araújo st. , 20 Camargos30140090Belo HorizonteMG,Brazil","Sonda S.A.Agenério de Araújo st. , 20 Camargos30140090 Belo Horizonte MG,Brazil",30140090
127,127.0,,https://www.datacentermap.com/brazil/belo-horizonte/century-cem-dc01/specs/,[],"Century Telecom LTDAJosé Permínio da Silva st., 80CINCO32341590ContagemMinas Gerais,Brazil","Century Telecom LTDAJosé Permínio da Silva st., 80 CINCO32341590 Contagem Minas Gerais,Brazil",32341590
128,128.0,,https://www.datacentermap.com/brazil/belo-horizonte/valspe/specs/,[],"VSP SolutionAV. Raja Gabaglia, 334830494310Belo HorizonteMinas Gerais,Brazil","VSP Solution AV. Raja Gabaglia, 3348 30494310 Belo Horizonte Minas Gerais,Brazil",30494310
129,129.0,,https://www.datacentermap.com/brazil/recife/surfix-data-center/specs/,[],"Surfix Cloud & Data CenterAv. Domingos Ferreira, 201051111-020RecifeBrazil","Surfix Cloud & Data Center Av. Domingos Ferreira, 2010 51111-020 Recife Brazil",51111-020
130,130.0,,https://www.datacentermap.com/brazil/recife/hotlink-internet/specs/,[],"hotlink internet ltdaRua Manoel Bezerra, 16550610250MadalenaPernambuco,Brazil","hotlink internet ltda Rua Manoel Bezerra, 165 50610250 Madalena Pernambuco,Brazil",50610250
131,131.0,,https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-minas/specs/,[],"Constel TecnologiaRua Minas Gerais, 1932 - Centro85812-030CascavelParana,Brazil","Constel Tecnologia Rua Minas Gerais, 1932 - Centro85812-030 Cascavel Parana,Brazil",85812-030
132,132.0,,https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-para/specs/,[],"Constel TecnologiaRua Pará, 812 - Country85813-060CascavelParana,Brazil","Constel Tecnologia Rua Pará, 812 - Country85813-060 Cascavel Parana,Brazil",85813-060
133,133.0,,https://www.datacentermap.com/brazil/palmas/idx-data-centers-it-services/specs/,"['1.2 MW', '250 sq.m.', 'Est.  2022']","IDX Data Centers & IT ServicesQ. 103 Sul Rua SO 5, 274 - Plano Diretor Sul77015PalmasTocantins,Brazil","IDX Data Centers & IT Services Q. 103 Sul Rua SO 5, 274 - Plano Diretor Sul77015 Palmas Tocantins,Brazil",
134,134.0,,https://www.datacentermap.com/brazil/santa-maria/dc-coracao-do-rio-grande/specs/,[],"AvatoRua Doutor Bozano, 1293 - 3o Andar97015004Santa MariaRS,Brazil","Avato Rua Doutor Bozano, 1293 - 3 o Andar97015004 Santa Maria RS,Brazil",97015004
135,135.0,,https://www.datacentermap.com/brazil/sao-jose-do-rio-preto/sjrp01/specs/,[],"IFTNET TelecomAv Bady Bassit 296615025000Sao Jose do Rio Preto SPSP,Brazil","IFTNET Telecom Av Bady Bassit 2966 15025000 Sao Jose do Rio Preto SPSP,Brazil",15025000
136,136.0,,https://www.datacentermap.com/brazil/vitoria/nuv-datacenter-nuv2/specs/,[],"NUV DatacenterR. Prof. Almeida Cousin, 125SALA 111329050-565VitóriaBrazil","NUV Datacenter R. Prof. Almeida Cousin, 125 SALA 1113 29050-565 Vitória Brazil",29050-565
137,137.0,,https://www.datacentermap.com/brazil/vitoria/nuv-datacenter-nuv1/specs/,[],"NUV DatacenterRua Fioravanet Cassini, 2829160-855SerraBrazil","NUV Datacenter Rua Fioravanet Cassini, 28 29160-855 Serra Brazil",29160-855
138,138.0,,https://www.datacentermap.com/brazil/vitoria/vix-datacenter/specs/,[],"ConectJá TelecomunicaçõesR. Sérgio Cardoso, 75 - Dom Bosco29147-350CariacicaBrazil","Conect Já Telecomunicações R. Sérgio Cardoso, 75 - Dom Bosco29147-350 Cariacica Brazil",29147-350
139,139.0,,https://www.datacentermap.com/brazil/manaus/pix-g8-manaus/specs/,[],"MegatelecomCorporate Trade, Rodovia Alvaro Maia, 2357Sala 80669025-310ManausBrazil","Megatelecom Corporate Trade, Rodovia Alvaro Maia, 2357 Sala 806 69025-310 Manaus Brazil",69025-310
140,140.0,,https://www.datacentermap.com/brazil/manaus/clickip-datacenters/specs/,[],"ClickIP DatacentersStreet Presidente Joao Batista Figueiredo69058695ManausAMAZONAS,Brazil","Click IP Datacenters Street Presidente Joao Batista Figueiredo69058695 Manaus AMAZONAS,Brazil",69058695
141,141.0,,https://www.datacentermap.com/brazil/aracaju/pix-g8-aracaju/specs/,[],"MegatelecomRua Pacatuba, 25449010-150AracajuBrazil","Megatelecom Rua Pacatuba, 254 49010-150 Aracaju Brazil",49010-150
142,142.0,,https://www.datacentermap.com/brazil/goiania/pix-g8-goiania/specs/,[],"MegatelecomAvenida T-63, 318214aº74250-320GoiâniaBrazil","Megatelecom Avenida T-63, 318214 aº74250-320 Goiânia Brazil",74250-320
143,143.0,,https://www.datacentermap.com/brazil/blumenau/unifique-timb-dc1/specs/,"['1.5 MW', '685 sq.m.']","UnifiqueR. Duque de Caxias, 831 - Centro89120-000TimbóBrazil","Unifique R. Duque de Caxias, 831 - Centro89120-000 TimbóBrazil",89120-000
144,144.0,,https://www.datacentermap.com/brazil/blumenau/armazem-dc-brusque/specs/,[],"Armazém CloudR. Atílio Battistoti, 199 - Azambuja88354-120BrusqueBrazil","Armazém Cloud R. Atílio Battistoti, 199 - Azambuja88354-120 Brusque Brazil",88354-120
145,145.0,,https://www.datacentermap.com/brazil/itauna/gox-dc/specs/,[],"GOX DATA CENTER LTDARua Zezé Lima, 21235680045ItaúnaMG,Brazil","GOX DATA CENTER LTDARua Zezé Lima, 212 35680045 Itaúna MG,Brazil",35680045
146,146.0,,https://www.datacentermap.com/brazil/joinville/armazem-dc-joinville/specs/,[],"Armazém CloudR. Dona Francisca, 8300 - Distrito Industrial Norte89219-600JoinvilleBrazil","Armazém Cloud R. Dona Francisca, 8300 - Distrito Industrial Norte89219-600 Joinville Brazil",89219-600
147,147.0,,https://www.datacentermap.com/brazil/xaxim/ferenz-networks/specs/,[],"Ferenz NetworksR. Rio Grande, 1938 - Guarany89825-000XaximSC,Brazil","Ferenz Networks R. Rio Grande, 1938 - Guarany89825-000 Xaxim SC,Brazil",89825-000
148,148.0,,https://www.datacentermap.com/brazil/tambore/scala-sgrutb01/specs/,['21 MW'],Scala Data CentersAv. Ceci 185006460TamboréBrazil,Scala Data Centers Av. Ceci 1 85006460 TamboréBrazil,85006460
149,149.0,,https://www.datacentermap.com/brazil/tambore/scala-sgrutb04/specs/,['12 MW'],"Scala Data CentersAv. Ceci 165006460TamboréSao Paulo,Brazil","Scala Data Centers Av. Ceci 1 65006460 TamboréSao Paulo,Brazil",65006460
150,150.0,,https://www.datacentermap.com/brazil/tambore/scala-sgrutb05/specs/,['6 MW'],"Scala Data CentersAv. Ceci 160006460TamboréSao Paulo,Brazil","Scala Data Centers Av. Ceci 1 60006460 TamboréSao Paulo,Brazil",60006460
151,151.0,,https://www.datacentermap.com/brazil/tambore/scala-sgrutb03/specs/,['9 MW'],Scala Data CentersAv. Ceci 175004065TamboréBrazil,Scala Data Centers Av. Ceci 1 75004065 TamboréBrazil,75004065
152,,,https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb08/specs/,[],,,
153,,,https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb12/specs/,[],,,
154,,,https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb06/specs/,[],,,
155,,,https://www.datacentermap.com/brazil/tambore/scala-data-centers-sgrutb09/specs/,"['36 MW', 'Est.  2024']",Scala Data CentersAv. Ceci 164906460-120BarueriBrazil,Scala Data Centers Av. Ceci 1649 06460-120 Barueri Brazil,06460-120
156,,,https://www.datacentermap.com/brazil/uberlandia/algar-tecnologia/specs/,[],"Algar TechAv. Floriano Peixoto, 650038406-642UberlandiaMinas Gerais,Brazil","Algar Tech Av. Floriano Peixoto, 6500 38406-642 Uberlandia Minas Gerais,Brazil",38406-642
