,url,address,cep,MW,sq.m,Est,sq.f,latitude,longitude
78,https://www.datacentermap.com/brazil/rio-de-janeiro/cloudhq-gig1/specs/,"Cloud HQR. Maria Soares Sendas, Parque Barreto25586-140 São João de Meriti Brazil",25586-140,36,"28,735",,,-22.795518300502,-43.352552542941
79,https://www.datacentermap.com/brazil/rio-de-janeiro/teleporto-rj/specs/,"Unknown Company Av. Pres. Vargas, 3131 - Centro20210-030 Rio de Janeiro Brazil",20210-030,,,,,-22.909942005253,-43.204502232002
80,https://www.datacentermap.com/brazil/rio-de-janeiro/cirion-rio2/specs/,"Cirion Av. Pedro II, 23520941 Rio de Janeiro Brazil",23520941,60,,2026,,-22.9357067,-43.6733496
81,https://www.datacentermap.com/brazil/rio-de-janeiro/ada-rio-de-janeiro/specs/,Ada Infrastructure Rua Oliveira Roxo25240-080 Duque de Caxias Brazil,25240-080,60,,,,-22.705812039026,-43.232343008584
82,https://www.datacentermap.com/brazil/rio-de-janeiro/takoda-rio-de-janeiro-rj1/specs/,"TAKODAEstrada dos Bandeirantes, 10916 22783-111 Rio de Janeiro Brazil",22783-111,9,,,,-22.984980364789,-43.431498419229
83,https://www.datacentermap.com/brazil/rio-de-janeiro/dc-ultranet-telecom1/specs/,"Ultranet Telecom Av. Pres. Vargas, 3131 20210-030 Centro Rio de Janeiro,Brazil",20210-030,,,,,-22.909942005253,-43.204502232002
84,https://www.datacentermap.com/brazil/rio-de-janeiro/aligned-rj-01/specs/,"Aligned Data Centers Rod. Pres. Dutra, 4648 25565-350 São João de Meriti Brazil",25565-350,,"1,800",,,-22.797623915969,-43.357630885838
85,https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa1/specs/,"Elea Data Centers Rua Engenheiro Afonso Cavalcanti 10090440 Porto Alegre Rio Grande do Sul (RS),Brazil",10090440,,,,,-30.034712041041,-51.1903977442
86,https://www.datacentermap.com/brazil/porto-alegre/elea-digital-poa2/specs/,"Elea Data Centers R. Voluntários da Pátria 1 55590030 Porto Alegre Rio Grande do Sul (RS),Brazil",55590030,,,,,-29.975170037423,-51.197774045529
87,https://www.datacentermap.com/brazil/porto-alegre/scala-spoapa01/specs/,"Scala Data Centers Av. Pernambuco 1 12490240 Porto Alegre Rio Grande do Sul (RS),Brazil",12490240,4.8,,,,-32.035,-52.09861
88,https://www.datacentermap.com/brazil/porto-alegre/vtal-voa/specs/,"Tecto Data Centers Rua Frederico Mentz, 1115 90240-110 Porto Alegre Brazil",90240-110,6,,,,-29.992072298188,-51.20097498931
89,https://www.datacentermap.com/brazil/porto-alegre/maila-networks-dc1/specs/,"Maila Networks R. Baronesa do Gravataí 738 90160070 Porto Alegre RS,Brazil",90160070,,,,,-30.046626577891,-51.225717742501
90,https://www.datacentermap.com/brazil/porto-alegre/telium-data-center--poa/specs/,"Telium Networks Av. Independência, 1299 90035073 Porto Alegre RS,Brazil",90035073,,,,,-30.028973245941,-51.207671768352
91,https://www.datacentermap.com/brazil/porto-alegre/adentro/specs/,"ADENTRO DATA CENTER SOLUTIONS LTDAAv. Bahia, 1258 90240-552 Porto Alegre Rio Grande do Sul,Brazil",90240-552,,,,,-30.013397200971,-51.201133323461
92,https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb1/specs/,"Elea Data Centers Scn Q 370297 Brasilia DF,Brazil",,,,,,-15.792707068472,-47.880713716637
93,https://www.datacentermap.com/brazil/brasilia/elea-digital-bsb2/specs/,"Elea Data Centers Sig Q 2 Lote 47070610 Brasilia DF,Brazil",47070610,,,,,-15.794931999778,-47.91679751031
94,https://www.datacentermap.com/brazil/brasilia/nwi-brasilia/specs/,"NWISIG Quadra 1 Lote 725 70610-410 Brasília DF,Brazil",70610-410,,,,,-15.790630595661,-47.910773059312
95,https://www.datacentermap.com/brazil/brasilia/pix-g8-brasilia/specs/,Megatelecom Setor Comercial Norte Q 6 Id Sala 419 70655-775 Brasília Brazil,70655-775,,,,,-15.793791998082,-47.9388116989
96,https://www.datacentermap.com/brazil/brasilia/hasest-sia/specs/,"Hasest SIA Trecho 05, Lotes 05/35 Bloco B Sala 441 71205-050 Brasilia DF,Brazil",71205-050,,,,,-15.798230802546,-47.955237463096
97,https://www.datacentermap.com/brazil/fortaleza/rua-quatorze-1161/specs/,"Ascenty Data Centers Rua Quatorze, 1161 61921-430 Fortaleza Ceará,Brazil",61921-430,10,"8,993",2015,,-3.832573545088,-38.613519177205
98,https://www.datacentermap.com/brazil/fortaleza/vtal-big-lobster/specs/,"Tecto Data Centers R. Raimundo Esteves, 333 - Antonio Diogo60182-330 Fortaleza Brazil",60182-330,6,,,,-3.735052917029,-38.458391464529
99,https://www.datacentermap.com/brazil/fortaleza/hostweb-fortaleza/specs/,"Hostweb R. Vitóriano Borges, 455 60741-370 Fortaleza Brazil",60741-370,,,,,-3.780988957341,-38.553169187845
100,https://www.datacentermap.com/brazil/fortaleza/ipxon-fortaleza/specs/,IPXON Networks Tv. Quatorze 1161 61919-120 Fortaleza Brazil,61919-120,27,,,,-3.827924672029,-38.611121864097
101,https://www.datacentermap.com/brazil/fortaleza/vtal-mega-lobster/specs/,Tecto Data Centers Av. Dioguinho & R. Francisco Montenegro60183-713 Fortaleza Brazil,60183-713,20,,,,-3.754023720396,-38.446931894145
102,https://www.datacentermap.com/brazil/fortaleza/provenet-idc/specs/,"Prove NET Internet Services LTDARua Isaías Domingos da Silveira, 215 60177-180 Fortaleza Brazil",60177-180,,,,,-3.735771707136,-38.466489975558
103,https://www.datacentermap.com/brazil/fortaleza/dc-ultranet-telecom/specs/,"Ultranet Telecom Av. Santos Dumont, 2122 60150-161 Fortaleza Aldelota,Brazil",60150-161,,,,,-3.734124705072,-38.50491127861
104,https://www.datacentermap.com/brazil/curitiba/elea-digital-cta1/specs/,"Elea Data Centers Tv. Teixeira de Freitas 7380410 Curitiba Paraná,Brazil",,,,,,-25.425127971788,-49.280766936955
105,https://www.datacentermap.com/brazil/curitiba/cirion-cur1/specs/,"Cirion R. do Semeador, 35081270 Curitiba Paraná,Brazil",35081270,,"2,995",,,-25.469830511542,-49.350175857179
106,https://www.datacentermap.com/brazil/curitiba/gvt-curitiba/specs/,"Vivo Rua Francisco Nunes, 1395 80215-000 Curitiba Paraná,Brazil",80215-000,,200,2011,,-25.453558808869,-49.254412003446
107,https://www.datacentermap.com/brazil/curitiba/cwbhn-01/specs/,"Hosting Now Rua Brasílio Itiberê 2217 80230050 Curitiba Paraná,Brazil",80230050,,"2,000",2022,,-25.445962792936,-49.265741738149
108,https://www.datacentermap.com/brazil/maringa/getcard-data-center/specs/,"Get Card Provedora de Transações Eletrônicas Av. Advogado Horacio Racanello Filho, 5570 87020-035 Maringa Parana,Brazil",87020-035,,,,,-23.418046479774,-51.942296573865
109,https://www.datacentermap.com/brazil/maringa/rgk4it-data-center/specs/,"RGK4 ITAv. José Alves Nendo, 467 - Jardim São Silvestre87055-000 MaringáBrazil",87055-000,,,,,-23.455632598794,-51.91508969118
